run_date,region,time,model,n,dry,light,mod,heavy
2026-07-21,수원시권선구,2026-07-22T01:00,gem_global_ensemble,21,0.095,0.667,0.143,0.095
2026-07-21,수원시권선구,2026-07-22T02:00,ensemble,143,0.497,0.357,0.126,0.021
2026-07-21,수원시권선구,2026-07-22T02:00,icon_seamless_eps,40,0.9,0.1,0,0
2026-07-21,수원시권선구,2026-07-22T02:00,ncep_gefs_seamless,31,0.226,0.613,0.161,0
2026-07-21,수원시권선구,2026-07-22T02:00,ecmwf_ifs025_ensemble,51,0.51,0.275,0.196,0.02
2026-07-21,수원시권선구,2026-07-22T02:00,gem_global_ensemble,21,0.095,0.667,0.143,0.095
2026-07-21,수원시권선구,2026-07-22T03:00,ensemble,143,0.497,0.357,0.126,0.021
2026-07-21,수원시권선구,2026-07-22T03:00,icon_seamless_eps,40,0.9,0.1,0,0
2026-07-21,수원시권선구,2026-07-22T03:00,ncep_gefs_seamless,31,0.226,0.613,0.161,0
2026-07-21,수원시권선구,2026-07-22T03:00,ecmwf_ifs025_ensemble,51,0.51,0.275,0.196,0.02
2026-07-21,수원시권선구,2026-07-22T03:00,gem_global_ensemble,21,0.095,0.667,0.143,0.095
2026-07-21,수원시권선구,2026-07-22T04:00,ensemble,143,0.559,0.322,0.105,0.014
2026-07-21,수원시권선구,2026-07-22T04:00,icon_seamless_eps,40,0.875,0.125,0,0
2026-07-21,수원시권선구,2026-07-22T04:00,ncep_gefs_seamless,31,0.29,0.548,0.161,0
2026-07-21,수원시권선구,2026-07-22T04:00,ecmwf_ifs025_ensemble,51,0.627,0.235,0.137,0
2026-07-21,수원시권선구,2026-07-22T04:00,gem_global_ensemble,21,0.19,0.571,0.143,0.095
2026-07-21,수원시권선구,2026-07-22T05:00,ensemble,143,0.566,0.301,0.119,0.014
2026-07-21,수원시권선구,2026-07-22T05:00,icon_seamless_eps,40,0.9,0.05,0.05,0
2026-07-21,수원시권선구,2026-07-22T05:00,ncep_gefs_seamless,31,0.29,0.548,0.161,0
2026-07-21,수원시권선구,2026-07-22T05:00,ecmwf_ifs025_ensemble,51,0.627,0.235,0.137,0
2026-07-21,수원시권선구,2026-07-22T05:00,gem_global_ensemble,21,0.19,0.571,0.143,0.095
2026-07-21,수원시권선구,2026-07-22T06:00,ensemble,143,0.566,0.301,0.119,0.014
2026-07-21,수원시권선구,2026-07-22T06:00,icon_seamless_eps,40,0.9,0.05,0.05,0
2026-07-21,수원시권선구,2026-07-22T06:00,ncep_gefs_seamless,31,0.29,0.548,0.161,0
2026-07-21,수원시권선구,2026-07-22T06:00,ecmwf_ifs025_ensemble,51,0.627,0.235,0.137,0
2026-07-21,수원시권선구,2026-07-22T06:00,gem_global_ensemble,21,0.19,0.571,0.143,0.095
2026-07-21,수원시권선구,2026-07-22T07:00,ensemble,143,0.517,0.385,0.098,0
2026-07-21,수원시권선구,2026-07-22T07:00,icon_seamless_eps,40,0.875,0.125,0,0
2026-07-21,수원시권선구,2026-07-22T07:00,ncep_gefs_seamless,31,0.194,0.613,0.194,0
2026-07-21,수원시권선구,2026-07-22T07:00,ecmwf_ifs025_ensemble,51,0.51,0.392,0.098,0
2026-07-21,수원시권선구,2026-07-22T07:00,gem_global_ensemble,21,0.333,0.524,0.143,0
2026-07-21,수원시권선구,2026-07-22T08:00,ensemble,143,0.524,0.378,0.098,0
2026-07-21,수원시권선구,2026-07-22T08:00,icon_seamless_eps,40,0.9,0.1,0,0
2026-07-21,수원시권선구,2026-07-22T08:00,ncep_gefs_seamless,31,0.194,0.613,0.194,0
2026-07-21,수원시권선구,2026-07-22T08:00,ecmwf_ifs025_ensemble,51,0.51,0.392,0.098,0
2026-07-21,수원시권선구,2026-07-22T08:00,gem_global_ensemble,21,0.333,0.524,0.143,0
2026-07-21,수원시권선구,2026-07-22T09:00,ensemble,143,0.531,0.371,0.098,0
2026-07-21,수원시권선구,2026-07-22T09:00,icon_seamless_eps,40,0.925,0.075,0,0
2026-07-21,수원시권선구,2026-07-22T09:00,ncep_gefs_seamless,31,0.194,0.613,0.194,0
2026-07-21,수원시권선구,2026-07-22T09:00,ecmwf_ifs025_ensemble,51,0.51,0.392,0.098,0
2026-07-21,수원시권선구,2026-07-22T09:00,gem_global_ensemble,21,0.333,0.524,0.143,0
2026-07-21,수원시권선구,2026-07-22T10:00,ensemble,143,0.385,0.427,0.175,0.014
2026-07-21,수원시권선구,2026-07-22T10:00,icon_seamless_eps,40,0.85,0.125,0.025,0
2026-07-21,수원시권선구,2026-07-22T10:00,ncep_gefs_seamless,31,0.032,0.484,0.452,0.032
2026-07-21,수원시권선구,2026-07-22T10:00,ecmwf_ifs025_ensemble,51,0.235,0.627,0.137,0
2026-07-21,수원시권선구,2026-07-22T10:00,gem_global_ensemble,21,0.381,0.429,0.143,0.048
2026-07-21,수원시권선구,2026-07-22T11:00,ensemble,143,0.35,0.455,0.182,0.014
2026-07-21,수원시권선구,2026-07-22T11:00,icon_seamless_eps,40,0.725,0.225,0.05,0
2026-07-21,수원시권선구,2026-07-22T11:00,ncep_gefs_seamless,31,0.032,0.484,0.452,0.032
2026-07-21,수원시권선구,2026-07-22T11:00,ecmwf_ifs025_ensemble,51,0.235,0.627,0.137,0
2026-07-21,수원시권선구,2026-07-22T11:00,gem_global_ensemble,21,0.381,0.429,0.143,0.048
2026-07-21,수원시권선구,2026-07-22T12:00,ensemble,143,0.343,0.462,0.182,0.014
2026-07-21,수원시권선구,2026-07-22T12:00,icon_seamless_eps,40,0.7,0.25,0.05,0
2026-07-21,수원시권선구,2026-07-22T12:00,ncep_gefs_seamless,31,0.032,0.484,0.452,0.032
2026-07-21,수원시권선구,2026-07-22T12:00,ecmwf_ifs025_ensemble,51,0.235,0.627,0.137,0
2026-07-21,수원시권선구,2026-07-22T12:00,gem_global_ensemble,21,0.381,0.429,0.143,0.048
2026-07-21,수원시권선구,2026-07-22T13:00,ensemble,143,0.252,0.469,0.266,0.014
2026-07-21,수원시권선구,2026-07-22T13:00,icon_seamless_eps,40,0.525,0.35,0.125,0
2026-07-21,수원시권선구,2026-07-22T13:00,ncep_gefs_seamless,31,0.065,0.484,0.419,0.032
2026-07-21,수원시권선구,2026-07-22T13:00,ecmwf_ifs025_ensemble,51,0.118,0.51,0.353,0.02
2026-07-21,수원시권선구,2026-07-22T13:00,gem_global_ensemble,21,0.333,0.571,0.095,0
2026-07-21,수원시권선구,2026-07-22T14:00,ensemble,143,0.245,0.476,0.252,0.028
2026-07-21,수원시권선구,2026-07-22T14:00,icon_seamless_eps,40,0.5,0.375,0.075,0.05
2026-07-21,수원시권선구,2026-07-22T14:00,ncep_gefs_seamless,31,0.065,0.484,0.419,0.032
2026-07-21,수원시권선구,2026-07-22T14:00,ecmwf_ifs025_ensemble,51,0.118,0.51,0.353,0.02
2026-07-21,수원시권선구,2026-07-22T14:00,gem_global_ensemble,21,0.333,0.571,0.095,0
2026-07-21,수원시권선구,2026-07-22T15:00,ensemble,143,0.224,0.462,0.287,0.028
2026-07-21,수원시권선구,2026-07-22T15:00,icon_seamless_eps,40,0.425,0.325,0.2,0.05
2026-07-21,수원시권선구,2026-07-22T15:00,ncep_gefs_seamless,31,0.065,0.484,0.419,0.032
2026-07-21,수원시권선구,2026-07-22T15:00,ecmwf_ifs025_ensemble,51,0.118,0.51,0.353,0.02
2026-07-21,수원시권선구,2026-07-22T15:00,gem_global_ensemble,21,0.333,0.571,0.095,0
2026-07-21,수원시권선구,2026-07-22T16:00,ensemble,143,0.196,0.503,0.294,0.007
2026-07-21,수원시권선구,2026-07-22T16:00,icon_seamless_eps,40,0.3,0.45,0.225,0.025
2026-07-21,수원시권선구,2026-07-22T16:00,ncep_gefs_seamless,31,0.129,0.581,0.29,0
2026-07-21,수원시권선구,2026-07-22T16:00,ecmwf_ifs025_ensemble,51,0.059,0.49,0.451,0
2026-07-21,수원시권선구,2026-07-22T16:00,gem_global_ensemble,21,0.429,0.524,0.048,0
2026-07-21,수원시권선구,2026-07-22T17:00,ensemble,143,0.224,0.455,0.315,0.007
2026-07-21,수원시권선구,2026-07-22T17:00,icon_seamless_eps,40,0.4,0.275,0.3,0.025
2026-07-21,수원시권선구,2026-07-22T17:00,ncep_gefs_seamless,31,0.129,0.581,0.29,0
2026-07-21,수원시권선구,2026-07-22T17:00,ecmwf_ifs025_ensemble,51,0.059,0.49,0.451,0
2026-07-21,수원시권선구,2026-07-22T17:00,gem_global_ensemble,21,0.429,0.524,0.048,0
2026-07-21,수원시권선구,2026-07-22T18:00,ensemble,143,0.217,0.455,0.322,0.007
2026-07-21,수원시권선구,2026-07-22T18:00,icon_seamless_eps,40,0.375,0.275,0.325,0.025
2026-07-21,수원시권선구,2026-07-22T18:00,ncep_gefs_seamless,31,0.129,0.581,0.29,0
2026-07-21,수원시권선구,2026-07-22T18:00,ecmwf_ifs025_ensemble,51,0.059,0.49,0.451,0
2026-07-21,수원시권선구,2026-07-22T18:00,gem_global_ensemble,21,0.429,0.524,0.048,0
2026-07-21,수원시권선구,2026-07-22T19:00,ensemble,143,0.308,0.503,0.182,0.007
2026-07-21,수원시권선구,2026-07-22T19:00,icon_seamless_eps,40,0.4,0.225,0.35,0.025
2026-07-21,수원시권선구,2026-07-22T19:00,ncep_gefs_seamless,31,0.226,0.774,0,0
2026-07-21,수원시권선구,2026-07-22T19:00,ecmwf_ifs025_ensemble,51,0.196,0.608,0.196,0
2026-07-21,수원시권선구,2026-07-22T19:00,gem_global_ensemble,21,0.524,0.381,0.095,0
2026-07-21,수원시권선구,2026-07-22T20:00,ensemble,143,0.308,0.545,0.14,0.007
2026-07-21,수원시권선구,2026-07-22T20:00,icon_seamless_eps,40,0.4,0.375,0.2,0.025
2026-07-21,수원시권선구,2026-07-22T20:00,ncep_gefs_seamless,31,0.226,0.774,0,0
2026-07-21,수원시권선구,2026-07-22T20:00,ecmwf_ifs025_ensemble,51,0.196,0.608,0.196,0
2026-07-21,수원시권선구,2026-07-22T20:00,gem_global_ensemble,21,0.524,0.381,0.095,0
2026-07-21,수원시권선구,2026-07-22T21:00,ensemble,143,0.35,0.503,0.147,0
2026-07-21,수원시권선구,2026-07-22T21:00,icon_seamless_eps,40,0.55,0.225,0.225,0
2026-07-21,수원시권선구,2026-07-22T21:00,ncep_gefs_seamless,31,0.226,0.774,0,0
2026-07-21,수원시권선구,2026-07-22T21:00,ecmwf_ifs025_ensemble,51,0.196,0.608,0.196,0
2026-07-21,수원시권선구,2026-07-22T21:00,gem_global_ensemble,21,0.524,0.381,0.095,0
2026-07-21,수원시권선구,2026-07-22T22:00,ensemble,143,0.434,0.434,0.133,0
2026-07-21,수원시권선구,2026-07-22T22:00,icon_seamless_eps,40,0.675,0.125,0.2,0
2026-07-21,수원시권선구,2026-07-22T22:00,ncep_gefs_seamless,31,0.548,0.419,0.032,0
2026-07-21,수원시권선구,2026-07-22T22:00,ecmwf_ifs025_ensemble,51,0.275,0.647,0.078,0
2026-07-21,수원시권선구,2026-07-22T22:00,gem_global_ensemble,21,0.19,0.524,0.286,0
2026-07-21,수원시권선구,2026-07-22T23:00,ensemble,143,0.455,0.427,0.119,0
2026-07-21,수원시권선구,2026-07-22T23:00,icon_seamless_eps,40,0.75,0.1,0.15,0
2026-07-21,수원시권선구,2026-07-22T23:00,ncep_gefs_seamless,31,0.548,0.419,0.032,0
2026-07-21,수원시권선구,2026-07-22T23:00,ecmwf_ifs025_ensemble,51,0.275,0.647,0.078,0
2026-07-21,수원시권선구,2026-07-22T23:00,gem_global_ensemble,21,0.19,0.524,0.286,0
2026-07-21,성남시수정구,2026-07-21T00:00,ensemble,143,0.154,0.545,0.294,0.007
2026-07-21,성남시수정구,2026-07-21T00:00,icon_seamless_eps,40,0.375,0.55,0.075,0
2026-07-21,성남시수정구,2026-07-21T00:00,ncep_gefs_seamless,31,0,0.161,0.806,0.032
2026-07-21,성남시수정구,2026-07-21T00:00,ecmwf_ifs025_ensemble,51,0,0.824,0.176,0
2026-07-21,성남시수정구,2026-07-21T00:00,gem_global_ensemble,21,0.333,0.429,0.238,0
2026-07-21,성남시수정구,2026-07-21T01:00,ensemble,143,0.427,0.469,0.105,0
2026-07-21,성남시수정구,2026-07-21T01:00,icon_seamless_eps,40,0.4,0.575,0.025,0
2026-07-21,성남시수정구,2026-07-21T01:00,ncep_gefs_seamless,31,0,0.613,0.387,0
2026-07-21,성남시수정구,2026-07-21T01:00,ecmwf_ifs025_ensemble,51,0.765,0.235,0,0
2026-07-21,성남시수정구,2026-07-21T01:00,gem_global_ensemble,21,0.286,0.619,0.095,0
2026-07-21,성남시수정구,2026-07-21T02:00,ensemble,143,0.406,0.476,0.119,0
2026-07-21,성남시수정구,2026-07-21T02:00,icon_seamless_eps,40,0.325,0.6,0.075,0
2026-07-21,성남시수정구,2026-07-21T02:00,ncep_gefs_seamless,31,0,0.613,0.387,0
2026-07-21,성남시수정구,2026-07-21T02:00,ecmwf_ifs025_ensemble,51,0.765,0.235,0,0
2026-07-21,성남시수정구,2026-07-21T02:00,gem_global_ensemble,21,0.286,0.619,0.095,0
2026-07-21,성남시수정구,2026-07-21T03:00,ensemble,143,0.364,0.51,0.126,0
2026-07-21,성남시수정구,2026-07-21T03:00,icon_seamless_eps,40,0.175,0.725,0.1,0
2026-07-21,성남시수정구,2026-07-21T03:00,ncep_gefs_seamless,31,0,0.613,0.387,0
2026-07-21,성남시수정구,2026-07-21T03:00,ecmwf_ifs025_ensemble,51,0.765,0.235,0,0
2026-07-21,성남시수정구,2026-07-21T03:00,gem_global_ensemble,21,0.286,0.619,0.095,0
2026-07-21,성남시수정구,2026-07-21T04:00,ensemble,143,0.112,0.657,0.224,0.007
2026-07-21,성남시수정구,2026-07-21T04:00,icon_seamless_eps,40,0.15,0.8,0.05,0
2026-07-21,성남시수정구,2026-07-21T04:00,ncep_gefs_seamless,31,0,0.516,0.484,0
2026-07-21,성남시수정구,2026-07-21T04:00,ecmwf_ifs025_ensemble,51,0.118,0.765,0.118,0
2026-07-21,성남시수정구,2026-07-21T04:00,gem_global_ensemble,21,0.19,0.333,0.429,0.048
2026-07-21,성남시수정구,2026-07-21T05:00,ensemble,143,0.119,0.657,0.217,0.007
2026-07-21,성남시수정구,2026-07-21T05:00,icon_seamless_eps,40,0.175,0.8,0.025,0
2026-07-21,성남시수정구,2026-07-21T05:00,ncep_gefs_seamless,31,0,0.516,0.484,0
2026-07-21,성남시수정구,2026-07-21T05:00,ecmwf_ifs025_ensemble,51,0.118,0.765,0.118,0
